"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"346","MPO","ICAM1","MPO.ICAM1",0.255729159913101
"347","MPO","CLDN4","MPO.CLDN4",0.255729159913101
"348","MPO","CASP2","MPO.CASP2",0.255729159913101
"349","MPO","LMTK2","MPO.LMTK2",0.255729159913101
"350","MPO","HLA.DOA","MPO.HLA.DOA",0.255729159913101
"351","MPO","NOTCH1","MPO.NOTCH1",0.255729159913101
"352","MPO","PDGFA","MPO.PDGFA",0.255729159913101
"353","MPO","ITGA6","MPO.ITGA6",0.255729159913101
"354","MPO","EPHA1","MPO.EPHA1",0.255729159913101
"355","MPO","GAS1","MPO.GAS1",0.255729159913101
"356","MPO","CLK1","MPO.CLK1",0.255729159913101
"357","MPO","MAP3K8","MPO.MAP3K8",0.255729159913101
"358","MPO","WNT2B","MPO.WNT2B",0.255729159913101
"359","MPO","EPS8","MPO.EPS8",0.255729159913101
"360","MPO","WNT8B","MPO.WNT8B",0.255729159913101
"361","MPO","CTGF","MPO.CTGF",0.255729159913101
"362","MPO","LMO1","MPO.LMO1",0.255729159913101
"363","MPO","P2RX7","MPO.P2RX7",0.255729159913101
"364","MPO","MBD2","MPO.MBD2",0.255729159913101
"365","MPO","CTTN","MPO.CTTN",0.255729159913101
"366","MPO","TM7SF3","MPO.TM7SF3",0.255729159913101
"367","MPO","ELL","MPO.ELL",0.255729159913101
"368","MPO","SMARCA4","MPO.SMARCA4",0.255729159913101
"369","MPO","NEFL","MPO.NEFL",0.255729159913101
"370","MPO","DNMT3B","MPO.DNMT3B",0.255729159913101
"371","MPO","MAP3K9","MPO.MAP3K9",0.255729159913101
"372","MPO","PLAUR","MPO.PLAUR",0.255729159913101
"373","MPO","WEE1","MPO.WEE1",0.255729159913101
"374","MPO","VIM","MPO.VIM",0.255729159913101
"375","MPO","FGFR3","MPO.FGFR3",0.255729159913101
"376","MPO","CTNNA1","MPO.CTNNA1",0.255729159913101
"377","MPO","SFTPC","MPO.SFTPC",0.255729159913101
"378","MPO","CDK6","MPO.CDK6",0.255729159913101
"379","MPO","MMP8","MPO.MMP8",0.255729159913101
"380","MPO","MLH3","MPO.MLH3",0.255729159913101
"381","MPO","SEMA3A","MPO.SEMA3A",0.255729159913101
"382","MPO","BCL3","MPO.BCL3",0.255729159913101
"383","MPO","CYP1B1","MPO.CYP1B1",0.255729159913101
"384","MPO","BAX","MPO.BAX",0.255729159913101
"385","MPO","NFKB1","MPO.NFKB1",0.255729159913101
"386","MPO","CD81","MPO.CD81",0.255729159913101
"387","MPO","CRIP1","MPO.CRIP1",0.255729159913101
"388","MPO","CAV2","MPO.CAV2",0.255729159913101
"389","MPO","ETS2","MPO.ETS2",0.255729159913101
"390","STAT5A","ITK","STAT5A.ITK",0.255729159913101
"391","STAT5A","PRSS1","STAT5A.PRSS1",0.255729159913101
"392","STAT5A","CD2","STAT5A.CD2",0.255729159913101
"393","STAT5A","WNT2","STAT5A.WNT2",0.255729159913101
"394","STAT5A","NOTCH3","STAT5A.NOTCH3",0.255729159913101
"395","STAT5A","EPHA5","STAT5A.EPHA5",0.255729159913101
"396","STAT5A","PRSS8","STAT5A.PRSS8",0.255729159913101
"397","STAT5A","FZD9","STAT5A.FZD9",0.255729159913101
"398","STAT5A","PLA2G2A","STAT5A.PLA2G2A",0.255729159913101
"399","STAT5A","TJP2","STAT5A.TJP2",0.255729159913101
"400","STAT5A","DIO3","STAT5A.DIO3",0.255729159913101
"401","STAT5A","SOX1","STAT5A.SOX1",0.255729159913101
"402","STAT5A","COL18A1","STAT5A.COL18A1",0.255729159913101
"403","STAT5A","DES","STAT5A.DES",0.255729159913101
"404","STAT5A","SOD3","STAT5A.SOD3",0.255729159913101
"405","STAT5A","IGF1","STAT5A.IGF1",0.255729159913101
"406","STAT5A","GDF10","STAT5A.GDF10",0.255729159913101
"407","STAT5A","FES","STAT5A.FES",0.255729159913101
"408","STAT5A","THPO","STAT5A.THPO",0.255729159913101
"409","STAT5A","LTA","STAT5A.LTA",0.255729159913101
"410","STAT5A","EGR4","STAT5A.EGR4",0.255729159913101
"411","STAT5A","CAPG","STAT5A.CAPG",0.255729159913101
"412","STAT5A","NCL","STAT5A.NCL",0.255729159913101
"413","STAT5A","MMP3","STAT5A.MMP3",0.255729159913101
"414","STAT5A","GAS7","STAT5A.GAS7",0.255729159913101
"415","STAT5A","HOXB2","STAT5A.HOXB2",0.255729159913101
"416","STAT5A","MMP2","STAT5A.MMP2",0.255729159913101
"417","STAT5A","DCN","STAT5A.DCN",0.255729159913101
"418","STAT5A","CFTR","STAT5A.CFTR",0.255729159913101
"419","STAT5A","NPR2","STAT5A.NPR2",0.255729159913101
"420","STAT5A","KDR","STAT5A.KDR",0.255729159913101
"421","STAT5A","CSF1R","STAT5A.CSF1R",0.255729159913101
"422","STAT5A","CCKAR","STAT5A.CCKAR",0.255729159913101
"423","STAT5A","TIAM1","STAT5A.TIAM1",0.255729159913101
"424","STAT5A","ASCL1","STAT5A.ASCL1",0.255729159913101
"425","STAT5A","OGG1","STAT5A.OGG1",0.255729159913101
"426","STAT5A","LYN","STAT5A.LYN",0.255729159913101
"427","STAT5A","S100A2","STAT5A.S100A2",0.255729159913101
"428","STAT5A","TNFRSF1B","STAT5A.TNFRSF1B",0.255729159913101
"429","STAT5A","IFNG","STAT5A.IFNG",0.255729159913101
"430","STAT5A","B3GALT5","STAT5A.B3GALT5",0.255729159913101
"431","STAT5A","MMP19","STAT5A.MMP19",0.255729159913101
"432","STAT5A","ALK","STAT5A.ALK",0.255729159913101
"433","STAT5A","DBC1","STAT5A.DBC1",0.255729159913101
"434","STAT5A","SPDEF","STAT5A.SPDEF",0.255729159913101
"435","STAT5A","HBEGF","STAT5A.HBEGF",0.255729159913101
"436","STAT5A","EPHA8","STAT5A.EPHA8",0.255729159913101
"437","STAT5A","MECP2","STAT5A.MECP2",0.255729159913101
"438","STAT5A","SFTPB","STAT5A.SFTPB",0.255729159913101
"439","STAT5A","MMP9","STAT5A.MMP9",0.255729159913101
"440","STAT5A","HLA.DPB1","STAT5A.HLA.DPB1",0.255729159913101
"441","STAT5A","IRAK1","STAT5A.IRAK1",0.255729159913101
"442","STAT5A","TRPM5","STAT5A.TRPM5",0.255729159913101
"443","STAT5A","CTLA4","STAT5A.CTLA4",0.255729159913101
"444","STAT5A","HLA.DQA2","STAT5A.HLA.DQA2",0.255729159913101
"445","STAT5A","HLF","STAT5A.HLF",0.255729159913101
"446","STAT5A","HCK","STAT5A.HCK",0.255729159913101
"447","STAT5A","RIPK4","STAT5A.RIPK4",0.255729159913101
"448","STAT5A","MT1A","STAT5A.MT1A",0.255729159913101
"449","STAT5A","LMO2","STAT5A.LMO2",0.255729159913101
"450","STAT5A","TGFBI","STAT5A.TGFBI",0.255729159913101
"451","STAT5A","ALPL","STAT5A.ALPL",0.255729159913101
"452","STAT5A","MAS1","STAT5A.MAS1",0.255729159913101
"453","STAT5A","CCKBR","STAT5A.CCKBR",0.255729159913101
"454","STAT5A","ABO","STAT5A.ABO",0.255729159913101
"455","STAT5A","KRT13","STAT5A.KRT13",0.255729159913101
